69f32b,2024-12-09 23:29:40,TEST,pula-pula,COMP
55466c,2024-12-09 23:29:57,TEST,pula-pula,COMP
220672,2024-12-09 23:30:21,TEST,pula-pula,0
2d109e,2024-12-09 23:33:53,TEST,pula-pula,COMP
0f15c4,2024-12-09 23:34:06,TEST,pula-pula,COMP
5b8810,2024-12-09 23:34:24,TEST,pula-pula,0
726750,2024-12-09 23:35:20,TEST,pula-pula,COMP
b7beb4,2024-12-09 23:37:45,TEST,pula-pula,0
e36b68,2024-12-10 07:42:47,OPEN,,
abb84f,2024-12-10 07:43:01,TEST,pula-pula,0
7ed880,2024-12-10 07:52:15,TEST,pula-pula,COMP
d91574,2024-12-10 07:52:25,TEST,pula-pula,20
8c1900,2024-12-10 07:54:28,TEST,pula-pula,COMP
e6413b,2024-12-10 07:54:41,TEST,pula-pula,20
f96c47,2024-12-10 07:55:14,TEST,pula-pula,20
b71810,2024-12-10 07:55:40,TEST,pula-pula,COMP
441397,2024-12-10 07:56:35,TEST,pula-pula,COMP
921e84,2024-12-10 07:57:34,TEST,pula-pula,20
8ee18b,2024-12-10 07:57:50,TEST,pula-pula,30
726c95,2024-12-10 08:00:01,TEST,pula-pula,COMP
82da87,2024-12-10 08:00:12,TEST,pula-pula,30
c85492,2024-12-10 08:00:54,TEST,pula-pula,20
80e84c,2024-12-10 08:01:25,TEST,pula-pula,20
e943ae,2024-12-10 08:02:27,TEST,pula-pula,40
f0ceee,2024-12-10 08:04:19,TEST,pula-pula,70
645d3d,2024-12-10 08:06:24,TEST,pula-pula,70
f87473,2024-12-10 08:10:09,TEST,pula-pula,100
94de07,2024-12-10 08:10:59,QUIT,,
